Runtime until solved,Gens until solved, NQ-Size, Pop Size,Select Type,Fit Scale Type,Xover Type,Xover Rate,Mut Type,Mut Rate,Rep Type,Fit Fxn,Chromo
380200,0,4,10,1,1,1,0.0,0,0.0,1,1,[2, 0, 3, 1],
34800,0,4,10,1,1,1,0.0,0,0.0,1,1,[2, 0, 3, 1],
14800,0,4,10,1,1,1,0.0,0,0.0,1,1,[2, 0, 3, 1],
16400,0,4,10,1,1,1,0.0,0,0.0,1,1,[1, 3, 0, 2],
335400,0,4,10,1,1,1,0.0,0,0.0,1,2,[2, 0, 3, 1],
20000,0,4,10,1,1,1,0.0,0,0.0,1,2,[2, 0, 3, 1],
13900,0,4,10,1,1,1,0.0,0,0.0,1,2,[2, 0, 3, 1],
19900,0,4,10,1,1,1,0.0,0,0.0,1,2,[1, 3, 0, 2],
356900,0,4,10,1,0,1,0.0,0,0.0,1,3,[2, 0, 3, 1],
44000,0,4,10,1,0,1,0.0,0,0.0,1,3,[1, 3, 0, 2],
18600,0,4,10,1,0,1,0.0,0,0.0,1,3,[2, 0, 3, 1],
20500,0,4,10,1,0,1,0.0,0,0.0,1,3,[1, 3, 0, 2],
16500,0,4,10,1,0,1,0.0,0,0.0,1,3,[1, 3, 0, 2],
344400,0,4,10,1,1,1,0.0,0,0.0,1,1,[2, 0, 3, 1],
35900,0,4,10,1,1,1,0.0,0,0.0,1,1,[2, 0, 3, 1],
14000,0,4,10,1,1,1,0.0,0,0.0,1,1,[2, 0, 3, 1],
15800,0,4,10,1,1,1,0.0,0,0.0,1,1,[1, 3, 0, 2],
382400,0,4,10,1,1,1,0.0,0,0.0,1,2,[2, 0, 3, 1],
35300,0,4,10,1,1,1,0.0,0,0.0,1,2,[2, 0, 3, 1],
11900,0,4,10,1,1,1,0.0,0,0.0,1,2,[2, 0, 3, 1],
12500,0,4,10,1,1,1,0.0,0,0.0,1,2,[1, 3, 0, 2],
345700,0,4,10,1,0,1,0.0,0,0.0,1,3,[2, 0, 3, 1],
41900,0,4,10,1,0,1,0.0,0,0.0,1,3,[1, 3, 0, 2],
14800,0,4,10,1,0,1,0.0,0,0.0,1,3,[2, 0, 3, 1],
10200,0,4,10,1,0,1,0.0,0,0.0,1,3,[1, 3, 0, 2],
12900,0,4,10,1,0,1,0.0,0,0.0,1,3,[1, 3, 0, 2],
351300,0,4,10,1,0,1,0.0,0,0.0,1,5,[2, 0, 3, 1],
22000,0,4,10,1,0,1,0.0,0,0.0,1,5,[2, 0, 3, 1],
29300,0,4,10,1,0,1,0.0,0,0.0,1,5,[1, 3, 0, 2],
9800,0,4,10,1,0,1,0.0,0,0.0,1,5,[1, 3, 0, 2],
10800,0,4,10,1,0,1,0.0,0,0.0,1,5,[2, 0, 3, 1],
338800,0,4,10,1,0,1,0.0,0,0.0,1,6,[2, 0, 3, 1],
24600,0,4,10,1,0,1,0.0,0,0.0,1,6,[2, 0, 3, 1],
16500,0,4,10,1,0,1,0.0,0,0.0,1,6,[1, 3, 0, 2],
8100,0,4,10,1,0,1,0.0,0,0.0,1,6,[1, 3, 0, 2],
15300,0,4,10,1,0,1,0.0,0,0.0,1,6,[2, 0, 3, 1],
377300,0,4,10,1,1,1,0.0,0,0.0,2,1,[2, 0, 3, 1],
34500,0,4,10,1,1,1,0.0,0,0.0,2,1,[2, 0, 3, 1],
13600,0,4,10,1,1,1,0.0,0,0.0,2,1,[2, 0, 3, 1],
19000,0,4,10,1,1,1,0.0,0,0.0,2,1,[1, 3, 0, 2],
411700,0,4,10,1,1,1,0.0,0,0.0,2,2,[2, 0, 3, 1],
33600,0,4,10,1,1,1,0.0,0,0.0,2,2,[2, 0, 3, 1],
14000,0,4,10,1,1,1,0.0,0,0.0,2,2,[2, 0, 3, 1],
25000,0,4,10,1,1,1,0.0,0,0.0,2,2,[1, 3, 0, 2],
375000,0,4,10,1,0,1,0.0,0,0.0,2,3,[2, 0, 3, 1],
47000,0,4,10,1,0,1,0.0,0,0.0,2,3,[1, 3, 0, 2],
15200,0,4,10,1,0,1,0.0,0,0.0,2,3,[2, 0, 3, 1],
9100,0,4,10,1,0,1,0.0,0,0.0,2,3,[1, 3, 0, 2],
10900,0,4,10,1,0,1,0.0,0,0.0,2,3,[1, 3, 0, 2],
408300,0,4,10,1,0,1,0.0,0,0.0,2,5,[2, 0, 3, 1],
35800,0,4,10,1,0,1,0.0,0,0.0,2,5,[2, 0, 3, 1],
31700,0,4,10,1,0,1,0.0,0,0.0,2,5,[1, 3, 0, 2],
12400,0,4,10,1,0,1,0.0,0,0.0,2,5,[1, 3, 0, 2],
21100,0,4,10,1,0,1,0.0,0,0.0,2,5,[2, 0, 3, 1],
345300,0,4,10,1,0,1,0.0,0,0.0,2,6,[2, 0, 3, 1],
51600,0,4,10,1,0,1,0.0,0,0.0,2,6,[2, 0, 3, 1],
17000,0,4,10,1,0,1,0.0,0,0.0,2,6,[1, 3, 0, 2],
11700,0,4,10,1,0,1,0.0,0,0.0,2,6,[1, 3, 0, 2],
10000,0,4,10,1,0,1,0.0,0,0.0,2,6,[2, 0, 3, 1],
343000,0,4,10,1,1,1,0.0,0,0.02,1,1,[2, 0, 3, 1],
23100,0,4,10,1,1,1,0.0,0,0.02,1,1,[2, 0, 3, 1],
17100,0,4,10,1,1,1,0.0,0,0.02,1,1,[2, 0, 3, 1],
21800,0,4,10,1,1,1,0.0,0,0.02,1,1,[1, 3, 0, 2],
348000,0,4,10,1,1,1,0.0,0,0.02,1,2,[2, 0, 3, 1],
35400,0,4,10,1,1,1,0.0,0,0.02,1,2,[2, 0, 3, 1],
10700,0,4,10,1,1,1,0.0,0,0.02,1,2,[2, 0, 3, 1],
15700,0,4,10,1,1,1,0.0,0,0.02,1,2,[1, 3, 0, 2],
