NQ-Size,Runtime until solved,Gens until solved, Pop Size,Select Type,Fit Scale Type,Xover Type,Xover Rate,Mut Type,Mut Rate,Rep Type,Fit Fxn, Fitness Score, Chromo,
12,609600,61,10,1,1,2,0.01,2,0.01,1,1,0.0,[4, 0, 5, 9, 11, 1, 3, 7, 2, 10, 8, 6],
12,11468800,393,20,1,1,6,0.01,6,0.01,2,1,0.0,[9, 4, 0, 7, 11, 2, 5, 1, 8, 10, 3, 6],
12,8531900,394,20,1,1,8,0.01,6,0.01,2,1,0.0,[9, 4, 0, 7, 11, 2, 5, 1, 8, 10, 3, 6],
12,497000,12,50,1,1,2,0.01,4,0.01,1,1,0.0,[9, 7, 5, 0, 2, 6, 8, 11, 4, 1, 3, 10],
12,1271600,25,50,1,1,4,0.01,4,0.01,1,1,0.0,[6, 10, 7, 2, 0, 8, 4, 1, 9, 11, 5, 3],
12,181300,0,100,1,1,2,0.01,2,0.01,1,1,0.0,[5, 2, 9, 6, 3, 1, 10, 7, 0, 11, 8, 4],
12,212700,0,100,1,1,2,0.01,3,0.01,1,1,0.0,[5, 2, 9, 6, 3, 1, 10, 7, 0, 11, 8, 4],
12,135000,0,100,1,1,8,0.01,7,0.01,2,1,0.0,[4, 7, 10, 0, 11, 5, 1, 6, 9, 2, 8, 3],
12,308100,0,500,1,1,2,0.01,4,0.01,1,1,0.0,[2, 8, 6, 11, 9, 1, 4, 0, 3, 10, 7, 5],
12,221400,0,500,1,1,3,0.01,2,0.01,1,1,0.0,[3, 8, 6, 1, 10, 5, 11, 9, 7, 4, 2, 0],
12,77429300,194,500,1,1,3,0.01,5,0.01,1,1,0.0,[10, 1, 4, 8, 5, 11, 9, 0, 6, 3, 7, 2],
12,486407000,769,500,1,1,9,0.01,3,0.01,1,1,0.0,[0, 6, 4, 10, 8, 11, 3, 1, 9, 2, 5, 7],
12,2819200,5,500,1,1,9,0.01,4,0.01,1,1,0.0,[8, 0, 3, 1, 9, 5, 10, 2, 11, 6, 4, 7],
12,3264500,5,500,1,1,9,0.01,5,0.01,1,1,0.0,[8, 2, 5, 7, 11, 1, 6, 9, 3, 0, 4, 10],
12,137498000,174,500,1,1,6,0.01,6,0.01,2,1,0.0,[9, 4, 0, 7, 11, 2, 5, 1, 8, 10, 3, 6],
12,9116200,18,500,1,1,6,0.01,6,0.01,2,1,0.0,[3, 8, 10, 4, 1, 5, 0, 11, 7, 2, 6, 9],
12,45431200,100,500,1,1,6,0.01,7,0.01,2,1,0.0,[10, 7, 5, 3, 5, 10, 8, 5, 1, 6, 4, 7],
12,104130000,187,500,1,1,7,0.01,6,0.01,2,1,0.0,[7, 11, 3, 3, 9, 1, 10, 4, 2, 0, 8, 6],
12,62375100,58,500,1,1,7,0.01,7,0.01,2,1,0.0,[9, 7, 5, 3, 8, 0, 9, 3, 0, 5, 8, 1],
12,392383600,836,500,1,1,8,0.01,6,0.01,2,1,0.0,[3, 8, 10, 4, 1, 5, 0, 11, 7, 2, 6, 9],
12,11182200,13,500,1,1,8,0.01,7,0.01,2,1,0.0,[8, 11, 0, 4, 7, 1, 10, 6, 8, 4, 2, 7],
12,5901200,9,500,1,1,8,0.01,7,0.01,2,1,0.0,[11, 5, 5, 9, 0, 2, 4, 11, 8, 7, 1, 7],
12,4136300,631,10,1,1,2,0.05,2,0.01,1,1,0.0,[2, 4, 9, 11, 8, 3, 0, 6, 1, 10, 5, 7],
12,9233500,315,20,1,1,7,0.05,6,0.01,2,1,0.0,[9, 4, 0, 7, 11, 2, 5, 1, 8, 10, 3, 6],
